"nvmax","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
1,0.718061897607588,0.0626520622101771,0.558990987080243,0.0206950813195972,0.0128924896991501,0.0127988521327421
2,0.589549819917375,0.368807282435586,0.437744929281963,0.0175800437475874,0.0226101081233151,0.0141169724388173
3,0.571776005929752,0.406115492514335,0.42269856562229,0.0173447238607069,0.0221175715410683,0.0126891523599084
4,0.571213056660261,0.407301964475453,0.422901444705991,0.017578738869877,0.0218544076051746,0.0127768246211256
5,0.563148781494259,0.423709883810933,0.42050772713658,0.0177132382847453,0.0218918181300274,0.0121672850152777
6,0.540263323504379,0.469792856491639,0.411436913858249,0.0162623334126827,0.0227517815691406,0.0115156649092412
7,0.528056408298329,0.493290525092819,0.404138289664855,0.0204131916543277,0.0322990900197993,0.0141552339932945
8,0.522785613002512,0.503363808245713,0.399501656553867,0.0194004206170253,0.0306699881425803,0.0136672392523532
9,0.499064880930409,0.54712624507351,0.382506587943717,0.0213260196705248,0.0352300776869262,0.0158460228866619
10,0.414658262162476,0.685984842493215,0.312936778282716,0.0336381287784327,0.0521664790264156,0.0261774657885128
11,0.405203450749797,0.699999548768405,0.305463348221004,0.034196285606603,0.0514023222948271,0.0272787636801055
12,0.400420138410208,0.707554295355235,0.301329725315233,0.0278660081553396,0.0415983277547723,0.0227459973169283
13,0.395425655757687,0.714931327802518,0.297014183052729,0.0270348578690016,0.0389618726027486,0.0223893867483163
14,0.391592823902771,0.720420407155285,0.293714732156076,0.0248502418662799,0.0370216618188785,0.0214372786970172
15,0.387688966719812,0.726000139490948,0.290977820468614,0.0249858045791422,0.0364401453681929,0.0204398544722471
16,0.383044742486054,0.733007528794292,0.287528021498248,0.0193088239321213,0.0256313940969327,0.0144796730129714
17,0.379571360465938,0.737808393926235,0.28516749688047,0.019976552495263,0.0256671597229209,0.014727982735888
18,0.376281399587902,0.742307991908423,0.282901504703202,0.0203092533766944,0.0260808958573854,0.0151341435720481
19,0.371818717502548,0.748328293180377,0.27971278739288,0.0219670773204408,0.0277552490061489,0.0163859734856196
20,0.368937876429473,0.752284158137778,0.277458644223528,0.0218099958212834,0.0266320579504374,0.0159425268332469
21,0.365783524420082,0.75655896468603,0.274857846736785,0.0205515654397062,0.0247083945342585,0.0149713777499984
22,0.361371217801386,0.762334549892333,0.271909885981132,0.0190886250442967,0.0238377674746344,0.013836685738877
23,0.357967925335261,0.76675882671395,0.269396553939367,0.0169098630292486,0.0226989641715049,0.0118300618936636
24,0.354468925306707,0.771255259443113,0.266740036725724,0.0172887533242445,0.0233229280618091,0.0119736899107074
25,0.351658516359393,0.774910302664293,0.264720195505935,0.0171905666199296,0.0224510692876438,0.0127141322344807
26,0.349166745552412,0.778205205232818,0.262706174732433,0.0165548609749933,0.0207471263938813,0.0124442716656983
27,0.346469103912245,0.781611611963035,0.260829111732902,0.015980193184412,0.0203155981302381,0.0122973223279067
28,0.344269409878766,0.784380831490439,0.259423332131327,0.0168283847307109,0.020474195578865,0.0125672341734858
29,0.342941885773936,0.786005700244678,0.258444494215308,0.0177515498172073,0.0213800967055701,0.01319627394496
30,0.340014414636738,0.789747719429209,0.256362689140303,0.015695642850423,0.0188051711932641,0.0113488321518757
