"alpha","lambda","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
0,1e-06,0.29604265471861,0.841017214542173,0.22208924542,0.0102487076240093,0.0114387460544718,0.00670389584068284
0,1e-05,0.29604265471861,0.841017214542173,0.22208924542,0.0102487076240093,0.0114387460544718,0.00670389584068284
0,1e-04,0.29604265471861,0.841017214542173,0.22208924542,0.0102487076240093,0.0114387460544718,0.00670389584068284
0,0.001,0.29604265471861,0.841017214542173,0.22208924542,0.0102487076240093,0.0114387460544718,0.00670389584068284
0,0.01,0.29604265471861,0.841017214542173,0.22208924542,0.0102487076240093,0.0114387460544718,0.00670389584068284
0,0.1,0.300470602387659,0.836509558368622,0.224686153923184,0.0103759142163763,0.0115644621785897,0.00678928763564325
0,1,0.341796713106132,0.797727383836804,0.251069372021263,0.0124690293273002,0.0128216513633133,0.00799752280656647
0,10,0.478837874066039,0.689248567729174,0.35123311819359,0.0189499197433802,0.016207510412008,0.0121477885675375
0,100,0.670615210007844,0.609947344533139,0.508415694554078,0.02205147565122,0.0188585800118538,0.0122533281567408
0,1000,0.741062415003949,NA,0.569789867059066,0.0222734724838912,NA,0.0121541499914749
