"nvmax","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
1,0.718389167278208,0.0617651780000955,0.558766101776121,0.0207510049710777,0.0130872585495358,0.0126298811392306
2,0.584037974903155,0.375530492242922,0.437967707445288,0.0505859324101041,0.0987123157581162,0.0383950101117552
3,0.450175271201112,0.631822571946374,0.339006371480737,0.0167966057107565,0.0234969897268874,0.0116073285838963
4,0.446233918657941,0.63823959473049,0.335920521458158,0.0169120856626558,0.0242976666399104,0.0118317138534053
5,0.444500531079435,0.641044833283599,0.334693519028173,0.0170582816969537,0.0240092397894501,0.0119994814554241
6,0.434254672621251,0.657466151192028,0.329538120119051,0.0159705952397813,0.0222255464097939,0.0112798851259638
7,0.41671614763325,0.684672635422034,0.314408998272944,0.0148041103244259,0.0197589581535249,0.0101861785187451
8,0.409285084151106,0.695762765790363,0.30900971777437,0.0146370024265062,0.020460891393152,0.00979849534405483
9,0.402479772014372,0.705731900180122,0.303643282095727,0.0155194260779086,0.0214500798860954,0.0101794163783963
10,0.401055205366215,0.707777195288267,0.302483668263901,0.0159157826129743,0.0219519507687804,0.0103172008244072
11,0.394587232765226,0.717080646036642,0.298139838289911,0.0153142663104878,0.0215581104746703,0.0101894177619072
12,0.393054161542502,0.719304448149388,0.29665069432446,0.0154836897421741,0.0213372365257044,0.0103730315116828
13,0.390243884444634,0.723294368720386,0.294678892291934,0.0156152968230942,0.0215890979170031,0.0108254101017044
14,0.388528770605104,0.725678105181867,0.293405500567719,0.0158421508910054,0.0220358779328456,0.0112707077657622
15,0.377517550338802,0.741049387541693,0.283248369835189,0.0154948205956255,0.0210369217943712,0.0104028475712542
16,0.374257830491159,0.745318870154752,0.280434344215888,0.0176233643511867,0.0241062635139533,0.0114699266503713
17,0.350132226239967,0.777357675181599,0.264711854389225,0.0114957260801292,0.0147398262578529,0.00771666467918403
18,0.346987745147322,0.781291106242546,0.262443081772479,0.0115080971419717,0.0150790017174642,0.0074730319995646
19,0.344645339546882,0.78421877341613,0.261439576316051,0.0120720622303424,0.0154395965064365,0.00765717748528991
20,0.342702555746798,0.786600967575143,0.25982238116157,0.0118369472342225,0.0153092141754398,0.00731499553124591
21,0.338978800086909,0.791198015394292,0.258089869770339,0.0113289988243757,0.0147276438410615,0.00706886015641809
22,0.3376583045765,0.792803217555128,0.256782573910876,0.0115839913563495,0.0151337032734874,0.00741025016122032
23,0.335087961930322,0.795977212038891,0.253968285228218,0.0125536049623818,0.0151430946620825,0.0080240698355105
24,0.333475515587935,0.79786011253126,0.252539917525729,0.0129121874214483,0.0162639917677578,0.00845315452144513
25,0.332856260479865,0.798595857463939,0.25189818865334,0.0127965181482546,0.0162324029262276,0.00823206669651117
26,0.332069372756842,0.799550403888958,0.251239257441219,0.0124317286961737,0.0158258494809584,0.00773757818187905
