"shrinkage","interaction.depth","n.minobsinnode","n.trees","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
0.1,3,10,1500,0.113127253721191,0.976701779991862,0.0826711204530673,0.00559653975284771,0.00284456313054845,0.00344894074419651
0.5,3,10,1500,0.137709991043086,0.96561774680383,0.0995789523914226,0.00651816547605713,0.00426070701497177,0.00345009586237223
1,3,10,1500,0.261867936032369,0.886339736606169,0.190013048934923,0.0145424492953818,0.0123774003499718,0.00959884374481004
0.1,5,10,1500,0.101201634292607,0.981346388092599,0.0728619722420839,0.00544767015595373,0.00242227112476503,0.00316184007306951
0.5,5,10,1500,0.144914632180948,0.962083846836873,0.103846934573695,0.00652084255295466,0.00392628657956479,0.0038857082020935
1,5,10,1500,0.330193475774808,0.828749819333768,0.240995400561849,0.0188323376899967,0.0201728126083878,0.0111417087468663
0.1,7,10,1500,0.0977164565973614,0.982600791828832,0.0691815945825201,0.00601446375019976,0.00235731783213544,0.00319503097793652
0.5,7,10,1500,0.149805198220814,0.959498882570315,0.107353196253126,0.00812922519329563,0.00517494174015221,0.00463834761839378
1,7,10,1500,0.375548416214083,0.788635159746501,0.275292611831427,0.0190163758180069,0.0251972111505742,0.011576485191479
